customerID,item,amount_usd,date,review,payment
4018,Handbag,4619,2/5/2023,,Credit Card
4115,Tunic,2456,7/11/2023,2,Credit Card
4019,Tank Top,2102,3/23/2023,4.1,Cash
4097,Leggings,3126,3/15/2023,3.2,Cash
3997,Wallet,3003,11/27/2022,4.7,Cash
4080,Onesie,2914,12/11/2022,4.5,Credit Card
4055,Jacket,2571,7/8/2023,1.3,Cash
3973,Trousers,2419,11/10/2022,4.6,Cash
4044,Jeans,4771,5/19/2023,4.1,Cash
4010,Loafers,4233,6/11/2023,,Credit Card
4108,Slippers,2356,3/19/2023,4.8,Credit Card
4067,Bowtie,4418,11/21/2022,3.4,Cash
4068,Pajamas,3728,12/9/2022,,Credit Card
4102,Trench Coat,2130,1/29/2023,4.8,Cash
4044,Handbag,2122,8/1/2023,1.2,Credit Card
4096,Poncho,2383,4/10/2023,,Credit Card
4017,Gloves,2895,7/17/2023,3.6,Credit Card
4001,Trench Coat,2952,6/13/2023,2.2,Cash
3976,Slippers,4069,6/18/2023,4.9,Credit Card
4103,Romper,4465,11/21/2022,,Credit Card
4081,T-shirt,2108,3/25/2023,,Cash
3986,Gloves,4298,4/5/2023,4.2,Cash
4108,Jeans,2814,2/11/2023,4.4,Credit Card
4109,Flip-Flops,4932,12/20/2022,4,Credit Card
4075,Tunic,4661,4/12/2023,1.2,Credit Card
4040,Shorts,4872,8/25/2023,3.8,Cash
4099,Blazer,4232,10/25/2022,2.7,Credit Card
3981,Boots,3718,9/10/2023,2.8,Credit Card
4070,Poncho,2902,8/4/2023,4.9,Cash
4002,Belt,3839,5/26/2023,1.8,Cash
4035,Tunic,4413,12/23/2022,1.2,Credit Card
4060,Boots,3139,1/26/2023,3.4,Credit Card
3974,Flip-Flops,2026,4/16/2023,4,Cash
4110,Hoodie,2653,10/11/2022,4.2,Credit Card
3984,Sweater,4859,12/19/2022,5,Cash
4109,Blouse,3731,3/2/2023,,Credit Card
4054,Swimsuit,3393,2/28/2023,4.3,Cash
4040,Kimono,3138,5/12/2023,,Credit Card
4083,Cardigan,2636,4/9/2023,1.7,Cash
4122,Socks,2881,2/22/2023,,Credit Card
3972,Pants,3378,5/6/2023,3.6,Cash
3980,Pajamas,2418,5/26/2023,2.2,Credit Card
4012,Scarf,2379,5/29/2023,2.9,Credit Card
3992,Backpack,101,12/13/2022,1.3,Credit Card
4105,Dress,164,10/20/2022,3.2,Credit Card
4119,Boots,21,4/3/2023,3.9,Cash
3957,Camisole,147,11/4/2022,4.7,Cash
3994,Loafers,,5/16/2023,3.9,Cash
3995,Bowtie,30,11/23/2022,4.1,Cash
4072,Poncho,170,10/15/2022,3.6,Credit Card
